#DataType      :	spring discharge data
#DataSource    :	Banque Hydro France	(http://www.hydro.eaufrance.fr/indexd.php?connect=1)
#ID            :	O3416810
#Name          :	Le ru de la pisciculture de la Mo à Lapanouse-de-Cernon (La Mouline)
#LAT	LON      :	43.99	3.09
#Time format   :	%d.%m.%Y
#Discharge unit:	m^3/s
#Timestamp(UTC):	14.08.2019 10:19:07
Timestamp	discharge
23.03.1999 14:30:00	0.52
25.03.1999 13:30:00	0.53
25.03.1999 15:00:00	0.54
25.03.1999 16:00:00	0.61
25.03.1999 18:12:00	1.2
25.03.1999 18:30:00	1.38
25.03.1999 19:00:00	1.52
25.03.1999 19:30:00	1.54
25.03.1999 22:03:00	1.33
25.03.1999 23:45:00	1.2
26.03.1999 03:00:00	1.1
26.03.1999 13:30:00	0.88
26.03.1999 21:00:00	0.85
27.03.1999 05:30:00	0.89
27.03.1999 14:00:00	0.85
27.03.1999 21:30:00	0.81
28.03.1999 05:30:00	0.78
28.03.1999 17:30:00	0.74
28.03.1999 23:30:00	0.72
29.03.1999 21:30:00	0.69
30.03.1999 00:30:00	0.68
31.03.1999 08:00:00	0.65
31.03.1999 13:30:00	0.65
02.04.1999 09:30:00	0.62
02.04.1999 14:00:00	0.61
04.04.1999 19:30:00	0.58
04.04.1999 20:00:00	0.58
08.04.1999 22:30:00	0.55
09.04.1999 00:00:00	0.55
16.04.1999 08:00:00	0.56
16.04.1999 13:00:00	0.56
16.04.1999 14:30:00	0.56
16.04.1999 18:30:00	0.56
18.04.1999 11:50:00	0.58
18.04.1999 17:30:00	0.66
19.04.1999 00:00:00	0.65
20.04.1999 04:00:00	0.62
20.04.1999 09:00:00	0.61
22.04.1999 16:30:00	0.58
22.04.1999 17:30:00	0.58
24.04.1999 01:00:00	0.61
24.04.1999 04:30:00	0.63
24.04.1999 06:30:00	0.64
26.04.1999 08:02:00	0.65
26.04.1999 08:36:00	0.72
26.04.1999 09:37:00	0.98
26.04.1999 10:31:00	1.2
26.04.1999 11:00:00	1.58
26.04.1999 11:32:00	1.78
26.04.1999 12:30:00	1.9
26.04.1999 13:30:00	1.91
26.04.1999 15:30:00	1.83
26.04.1999 18:00:00	1.66
27.04.1999 01:00:00	1.3
27.04.1999 12:00:00	1.06
27.04.1999 15:30:00	1.01
28.04.1999 11:00:00	0.85
28.04.1999 18:00:00	0.83
29.04.1999 05:30:00	0.79
29.04.1999 14:00:00	0.76
30.04.1999 06:00:00	0.72
30.04.1999 11:00:00	0.71
01.05.1999 14:00:00	0.68
01.05.1999 17:30:00	0.67
03.05.1999 13:30:00	0.67
03.05.1999 14:15:00	0.79
03.05.1999 14:39:00	0.88
03.05.1999 16:31:00	1.2
03.05.1999 17:08:00	1.48
03.05.1999 18:00:00	1.64
03.05.1999 20:00:00	1.81
04.05.1999 03:30:00	3.65
04.05.1999 06:00:00	3.7
04.05.1999 08:00:00	3.81
04.05.1999 10:30:00	4.19
04.05.1999 16:30:00	3.84
04.05.1999 20:30:00	3.31
05.05.1999 01:00:00	2.79
05.05.1999 05:30:00	2.54
05.05.1999 15:00:00	1.87
06.05.1999 11:30:00	1.29
07.05.1999 09:30:00	1.05
07.05.1999 17:00:00	1.01
08.05.1999 03:00:00	0.95
08.05.1999 14:30:00	0.9
08.05.1999 21:30:00	0.88
09.05.1999 14:00:00	0.84
09.05.1999 19:30:00	0.82
10.05.1999 15:30:00	0.79
10.05.1999 21:00:00	0.77
12.05.1999 06:30:00	0.74
12.05.1999 11:00:00	0.73
14.05.1999 07:30:00	0.7
14.05.1999 09:30:00	0.69
16.05.1999 19:30:00	0.66
16.05.1999 20:00:00	0.66
17.05.1999 12:30:00	0.67
17.05.1999 13:04:00	0.72
17.05.1999 14:30:00	1.15
